diputado,url,foto
"ABDALA DE MATARAZZO, NORMA AMANDA",http://www.diputados.gob.ar/diputados/nabdaladem/,http://www4.hcdn.gob.ar/fotos/nabdaladem_medium.jpg
"AGUAD, OSCAR RAUL",http://www.diputados.gob.ar/diputados/oaguad/,http://www4.hcdn.gob.ar/fotos/oaguad_medium.jpg
"AGUILAR, LINO WALTER",http://www.diputados.gob.ar/diputados/laguilar/,http://www4.hcdn.gob.ar/fotos/laguilar_medium.jpg
"ALBARRACIN, JORGE LUIS",http://www.diputados.gob.ar/diputados/jalbarracin/,http://www4.hcdn.gob.ar/fotos/jalbarracin_medium.jpg
"ALBRIEU, OSCAR EDMUNDO NICOLAS",http://www.diputados.gob.ar/diputados/oalbrieu/,http://www4.hcdn.gob.ar/fotos/oalbrieu_medium.jpg
"ALFONSIN, RICARDO LUIS",http://www.diputados.gob.ar/diputados/ralfonsin/,http://www4.hcdn.gob.ar/fotos/ralfonsin_medium.jpg
"ALONSO, GUMERSINDO FEDERICO",http://www.diputados.gob.ar/diputados/galonso/,http://www4.hcdn.gob.ar/fotos/galonso_medium.jpg
"ALONSO, LAURA",http://www.diputados.gob.ar/diputados/lalonso/,http://www4.hcdn.gob.ar/fotos/lalonso_medium.jpg
"ALONSO, MARIA LUZ",http://www.diputados.gob.ar/diputados/malonso/,http://www4.hcdn.gob.ar/fotos/malonso_medium.jpg
"ALVAREZ, ELSA MARIA",http://www.diputados.gob.ar/diputados/ealvarez/,http://www4.hcdn.gob.ar/fotos/ealvarez_medium.jpg
"ALVAREZ, JORGE MARIO",http://www.diputados.gob.ar/diputados/jmalvarez/,http://www4.hcdn.gob.ar/fotos/jmalvarez_medium.jpg
"AMADEO, EDUARDO PABLO",http://www.diputados.gob.ar/diputados/eamadeo/,http://www4.hcdn.gob.ar/fotos/eamadeo_medium.jpg
"ARENA, CELIA ISABEL",http://www.diputados.gob.ar/diputados/carena/,http://www4.hcdn.gob.ar/fotos/carena_medium.jpg
"ARGUMEDO, ALCIRA SUSANA",http://www.diputados.gob.ar/diputados/aargumedo/,http://www4.hcdn.gob.ar/fotos/aargumedo_medium.jpg
"ARREGUI, ANDRES ROBERTO",http://www.diputados.gob.ar/diputados/aarregui/,http://www4.hcdn.gob.ar/fotos/aarregui_medium.jpg
"ASPIAZU, LUCIO BERNARDO",http://www.diputados.gob.ar/diputados/laspiazu/,http://www4.hcdn.gob.ar/fotos/laspiazu_medium.jpg
"ASSEFF, ALBERTO EMILIO",http://www.diputados.gob.ar/diputados/aasseff/,http://www4.hcdn.gob.ar/fotos/aasseff_medium.jpg
"ATANASOF, ALFREDO NESTOR",http://www.diputados.gob.ar/diputados/aatanasof/,http://www4.hcdn.gob.ar/fotos/aatanasof_medium.jpg
"AVOSCAN, HERMAN HORACIO",http://www.diputados.gob.ar/diputados/havoscan/,http://www4.hcdn.gob.ar/fotos/havoscan_medium.jpg
"BALCEDO, MARIA ESTER",http://www.diputados.gob.ar/diputados/mbalcedo/,http://www4.hcdn.gob.ar/fotos/mbalcedo_medium.jpg
"BARBIERI, MARIO LEANDRO",http://www.diputados.gob.ar/diputados/mbarbieri/,http://www4.hcdn.gob.ar/fotos/mbarbieri_medium.jpg
"BARCHETTA, OMAR SEGUNDO",http://www.diputados.gob.ar/diputados/obarchetta/,http://www4.hcdn.gob.ar/fotos/obarchetta_medium.jpg
"BARRANDEGUY, RAUL ENRIQUE",http://www.diputados.gob.ar/diputados/rbarrandeguy/,http://www4.hcdn.gob.ar/fotos/rbarrandeguy_medium.jpg
"BASTERRA, LUIS EUGENIO",http://www.diputados.gob.ar/diputados/lbasterra/,http://www4.hcdn.gob.ar/fotos/lbasterra_medium.jpg
"BAZZE, MIGUEL ANGEL",http://www.diputados.gob.ar/diputados/mbazze/,http://www4.hcdn.gob.ar/fotos/mbazze_medium.jpg
"BEDANO, NORA ESTHER",http://www.diputados.gob.ar/diputados/nbedano/,http://www4.hcdn.gob.ar/fotos/nbedano_medium.jpg
"BENEDETTI, ATILIO FRANCISCO SALVADOR",http://www.diputados.gob.ar/diputados/abenedetti/,http://www4.hcdn.gob.ar/fotos/abenedetti_medium.jpg
