id_bloque,bloque,color
1,A.R.I,#2ca02c
2,A.R.I Autónomo 8 +,#2ca02c
3,Acción por la República,
4,Alianza,
5,Alianza Frente Alternatva Pampeana,
6,Autodeterminación y Libertad,
7,Autonomista de Corrientes,
9,Bloque por la Verdad,
10,Bloque Social Patagónico,
11,Bloque Unipersonal,
12,"Bloque Unipersonal Cultura, Educación y Trabajo",
13,Bloquista de San Juan,
14,Bs. As. para Todos en Proyecto Sur,
15,Buenos Aires,
16,Buenos Aires por el Cambio,
17,Coalición Cívica,#2ca02c
18,Coalición Cívica - ARI,#2ca02c
19,Coalición Cívica - ARI - GEN - UPT,#2ca02c
20,Coalición Cívica - ARI - UNEN,#2ca02c
21,Compromiso Federal,#8A2908
22,Compromiso para el Cambio,
23,Concertación Entrerriana,
24,Consenso Federal,
25,Conservador Popular,
26,Convergencia,
27,Convergencia Federal,#8A2908
28,Córdoba Federal,
29,Corriente de Pensamiento Federal,
30,Corriente Peronista Federal,
31,Cruzada Renovadora,
32,"Cultura, Educación y Trabajo",
33,De la Concertación,
34,Democracia Igualitaria y Participativa,
35,Demócrata,
36,Demócrata de Capital Federal,
37,Demócrata de Mendoza,
38,Demócrata Progresista,
39,Desarrollo y Justicia,
40,Diálogo por Buenos Aires,
41,Dignidad Peronista,
42,Dignidad y Justicia,
43,El Chacho,
44,Emancipación y Justicia,
45,Encuentro,
46,Encuentro Popular,
47,Encuentro Popular y Social,
48,Eva Perón,
49,F.F.J. Azul y Blanco,
50,F.I.S.CA.L,
51,Fe,
52,Federal,
53,Frente Cívico - Córdoba,
54,Frente Cívico por Santiago,#4b088a
55,Frente Cívico Social,
56,Frente Cívico Tucumán,
57,Frente Cívico y Social,
58,Frente Cívico y Social de Catamarca,
59,Frente de Todos,
60,Frente de Unidad Provincial,
61,Frente del Movimiento Popular,#8A2908
62,Frente Grande,
63,Frente Justicia Unión y Libertad,#8A2908
65,Frente para el Cambio,
66,Frente para la Victoria - Partido Bloqui,
67,Frente para la Victoria - PJ,#1f77b4
68,Frente Partido Nuevo,
69,Frente Peronista,#0b615e
70,Frente Peronista Federal,
71,Frente Polo Social,
72,Frente Popular Bonaerense,
73,Frente por la Inclusión Social,
74,Frente por los Derechos Ciudadanos,
75,Frente Producción y Trabajo,
76,Frente Prog. Cívico y Social,
77,Frente Proyecto Corrientes,
78,Frente Renovador,#0b615e
79,Frente Renovador Peronista,
80,FREPASO,
81,Fte. de Izquierda y de los Trabajadores,
82,Fuerza Porteña,
83,Fuerza Republicana,
85,Guardia Peronista,
86,Interbloque Acción por la Repúbliica,
87,Izquierda Unida,
88,Justicialismo Republicano,
89,Justicialista,#0101DF
90,Justicialista Nacional,
91,La Argentina de los Valores,
92,Liberal de Corrientes,
94,lzquierda Unida,
95,M.M.T.A.,
96,Memoria y Democracia,
97,MO.RE.CI,
98,Mov. de Bases Independientes,
99,Movimiento Cívico y Social,
100,Movimiento Independiente,
101,Movimiento Pampa Sur,
102,Movimiento Popular Fueguino,
103,Movimiento Popular Neuquino,
104,Movimiento Proyecto Sur,
105,Movimiento Solidario Popular,
106,Nacional Sindical,
107,No Integra Bloque,
108,Nucleo Unidad Peronista,
110,Nuevo Encuentro Popular y Solidario,
111,Nuevo Espacio Entrerriano,
112,Participación Ciudadana,
113,Partido de la Concertación - FORJA,
114,Partido de la Revolución Democrática,
115,Partido Demócrata por la Capital Federal,
116,Partido Federal,
117,Partido Federal Fueguino,
118,Partido Intransigente,
119,Partido Justicialista La Pampa,
120,Partido Liberal de Corrientes,
121,Partido Nuevo,
122,Partido Nuevo Contra la Corrupción,
123,Partido Socialista,#fa58f4
124,Partido Socialista Popular,
125,Partido Unidad Federalista,
126,Peronismo Federal,#0b615e
127,Peronismo Jujeño,
128,Peronismo mas al Sur,
129,Peronismo Peronista,
130,Peronismo Popular,
131,Peronista,
132,Peronista Córdoba Ciudadana,
133,Peronista Federal,#0b615e
134,Peronista Salteño,
135,Polo Social,
136,PRO,#e7ba52
137,Propuesta Peronista,
138,Propuesta Republicana,#e7ba52
139,Proyecto Corrientes,
140,Proyecto Progresista,
141,Proyecto Social Alternativo,
142,Proyecto Sur,
143,Proyecto Sur - UNEN,
144,PTS - Frente de Izquierda,
145,Recrear,
146,Recrear -- Tucumán,
147,Recrear para el Crecimiento,
148,Red de Encuentro Social,
149,Renovador de Salta,
150,Ricardo Balbin,
151,Salta Somos Todos,
152,Santa Fe en Movimiento,
153,Santa Fe Federal,
154,SI por la Unidad Popular,
155,Soberania Popular,
156,Socialismo Popular,
157,Socialista del MIJD,
158,Solidaridad e Igualdad (SI),
159,Solidaridad e Igualdad (SI) - ARI (T.D.F),
160,Solidaridad e Igualdad (SI) - Proyecto P,
161,SUMA + UNEN,
162,Trabajo y Dignidad,
163,U. Ce. De.,
164,U.De.So.,#d62728
165,U.De.So. Salta,#d62728
166,Unidad Bonaerense,
167,Unidad Federalista,
168,Unidad para el Desarrollo Social y la Equidad,
169,Unidad Popular,
170,Unión Celeste y Blanca,
171,Unión Celeste y Blanco,
172,Unión Cívica Radical,#d62728
173,Unión Peronista,#0b615e
174,Unión por Argentina,
175,Unión por Córdoba,
176,Unión por Entre Ríos,
177,Unión por San Juan,
178,Unión por Todos,
179,Unión PRO,#e7ba52
180,UNIR,
181,Valores para mi País,
182,Vida y Compromiso,
183,Frente Renovador de la Concordia Misiones,
184,Movimiento Nacional Alfonsinista,
185,Renovador Social Cristiano,
186,Solidario SI,
187,Libertad y Democracia,
188,Social Cristiano,
189,Chubut Somos Todos,
190,Compromiso con San Juan,
191,Concertación FORJA,
192,Federal Unidos por una Nueva Argentina,#0b615e
193,Avanzar San Luis,
194,Partido Demócrata Progresista,
195,Primero Tucumán,
197,Unidos por una Nueva Argentina,#173B0B
198,BG Juan B. Bustos,
199,Del Bicentenario,
200,Juntos por Argentina,
201,"Libertad, Valores y Cambios",
202,Diálogo y Trabajo,
93,Libres del Sur,#B40486
204,Peronismo para la Victoria,#2E9AFE
203,Del Frente de la Concordia Misionero,#DF3A01
8,Bloque GEN,#FE2E64
84,GEN,#FE2E64
109,Nuevo Encuentro,#52ADCA
64,Frente Nuevo Encuentro,#52ADCA
205,Frente Norte,
206,Izquierda Socialista - Frente de Izquierda,
207,Bloque de los Trabajadores,
